Mixture	S1	S3	S4	P-value	Correlation	RMSE
4033	0.64246171294814869	0.00000000000000000	0.35753828705185131	0.00000000000000000	0.98916625960966953	0.15206686218110479
4034	0.17544098479703393	0.82455901520296604	0.00000000000000000	0.00000000000000000	0.98690845438549557	0.16220613154811017
4027	0.27895550574205130	0.29272553130913542	0.42831896294881339	0.00000000000000000	0.98131114947384945	0.32320566666878481
4028	0.45053243148414002	0.49330293262708269	0.05616463588877726	0.00000000000000000	0.98308227658391067	0.21832924973876686
4112	0.26458996152319303	0.63788469563960848	0.09752534283719862	0.00000000000000000	0.99595404127162246	0.10075877487192858
4113	0.02408519344098795	0.97591480655901197	0.00000000000000000	0.00000000000000000	0.96283069484009232	0.28148869675527965
4116	0.41635852771444137	0.46969274280008116	0.11394872948547757	0.00000000000000000	0.99603059885319800	0.10116324616937622
4117	0.21428270876687938	0.75498457999696222	0.03073271123615850	0.00000000000000000	0.99071388971100216	0.13778803849601953
4214	0.21428499141507967	0.63745871093523576	0.14825629764968465	0.00000000000000000	0.99520734938807465	0.14710005865583378
4215	0.26681064532928173	0.67240968281262292	0.06077967185809535	0.00000000000000000	0.98947842491485660	0.14590006023124003
4315	0.37121174972248089	0.38095857172845848	0.24782967854906057	0.00000000000000000	0.99255297666077513	0.14992875121919347
4316	0.17879862099128996	0.80612099271677840	0.01508038629193162	0.00000000000000000	0.98666490376436999	0.16467492446642035
4340	0.51655764156707840	0.26170380588620934	0.22173855254671229	0.00000000000000000	0.99326247185471250	0.12283579873062847
4341	0.48460156925850656	0.41059503211655851	0.10480339862493490	0.00000000000000000	0.98565327414243276	0.19734259150766875
4344	0.53238282932973724	0.33115186508190869	0.13646530558835407	0.00000000000000000	0.99279675878897267	0.15763622005372002
4345	0.40155929669622903	0.48653214139279233	0.11190856191097859	0.00000000000000000	0.98581286434059801	0.17471171521293333
3532	0.68318959082771469	0.12339048326186278	0.19341992591042259	0.00000000000000000	0.98524739327097255	0.23454667966620893
3533	0.22909278183689130	0.76201373677693884	0.00889348138616987	0.00000000000000000	0.98206359090977080	0.18979080670922377
3536	0.43174178824696818	0.33957046114455380	0.22868775060847793	0.00000000000000000	0.98165033677111690	0.19366952009115668
3537	0.41266032926833596	0.54894484132356769	0.03839482940809638	0.00000000000000000	0.98285825997382026	0.21411210109280063
4299	0.48566894994358523	0.28471931253010907	0.22961173752630570	0.00000000000000000	0.99531516974497625	0.10183173660010075
4300	0.10677918396239783	0.84220071941458763	0.05102009662301458	0.00000000000000000	0.99706387379508876	0.12871735317586061
4722	0.11351091348212231	0.34960419872743326	0.53688488779044441	0.00000000000000000	0.94523737839364919	0.51495507808153540
4723	0.26108894592464366	0.50849625697886414	0.23041479709649204	0.00000000000000000	0.98852375614380994	0.20282441479272037
