genesymbols	S1	S3	S4
ENSG00000000003.14	523.48272409580943076	459.62463477719592220	287.39202729950204684
ENSG00000000005.6	29.67162755565460230	29.67162755565460230	29.67162755565460230
ENSG00000000419.12	390.49854445801940983	390.77467686070411901	372.59334698855138868
ENSG00000000457.14	193.69886582482288873	254.36404030182708880	193.69886582482288873
ENSG00000000460.17	70.26609922853779722	77.25357550573750132	64.79305196122619748
ENSG00000000938.13	23.38454273460024524	24.65860345839420376	22.04695423250044684
ENSG00000000971.15	4109.69336321332684747	2958.14338418454008206	1148.62387492733000727
ENSG00000001036.13	666.87826067045580203	669.76815957096971488	497.31998123699418102
ENSG00000001084.13	141.88117194501796803	202.85726880316499887	141.48910946849750303
ENSG00000001167.14	220.87142268345951379	239.96468001728902664	220.88817398246254697
ENSG00000001460.18	95.38710697552079409	93.78431382086591839	52.97795092411184470
ENSG00000001461.17	242.85493124099110673	220.15292209422503333	185.49482952675293745
ENSG00000001497.16	395.51651913379191683	485.33448931373686719	451.12314525861040693
ENSG00000001561.7	65.08796760328300479	64.61672831071439305	50.72827546070469396
ENSG00000001617.12	39.36326987121449861	40.17406861775788940	40.17406861775798887
ENSG00000001626.15	19.88055326829540093	19.88055326829540093	19.88055326829540093
ENSG00000001629.10	515.44526379709373032	451.91514311060808495	448.33621256279434419
ENSG00000001630.17	759.96365413425087354	681.45115817280964166	674.38449509947361094
ENSG00000001631.15	301.79448955011292810	284.98222349486104576	279.00471294345652495
ENSG00000002016.17	213.48876069717209703	213.48876069717209703	277.01967119989342336
ENSG00000002330.13	272.81352199380995671	267.42033029421094170	278.57599525511545835
ENSG00000002549.12	1000.55039364211108932	940.25032117264652243	940.25032117265925535
ENSG00000002586.20	4079.83712979750907834	2627.50891638572147713	1660.75718935221925676
ENSG00000002586.20_PAR_Y	3988.86670409296493744	2343.80931431226963468	1626.40471877796881017
ENSG00000002587.10	29.56392441871905064	34.11922507410838534	36.48999023412610399
ENSG00000002745.13	27.98554937785239005	27.98554937785239005	27.98554937785239005
ENSG00000002746.15	33.73656808444635402	29.05238048648560323	23.59564410779669430
ENSG00000002822.15	106.10399331496397224	87.69524217831536816	98.10930462159467424
ENSG00000002834.18	2215.67761153485525938	2215.67761153486890180	2868.37911471797906415
ENSG00000002919.14	180.86279505826595937	231.78971353736790206	168.69940888372656218
ENSG00000002933.9	654.41397186861900082	413.45596864716799246	141.03035222110759150
ENSG00000003056.8	802.94208197906152691	882.22552122346485248	817.93269123681488963
ENSG00000003096.14	122.01135362390147066	129.25014122795892035	145.52794231296246608
ENSG00000003137.8	88.22212276775042028	94.25937452043797293	76.78679845777739388
ENSG00000003147.19	39.42706339726860421	36.43017344788168543	38.67630283640470878
ENSG00000003249.13	34.31845262080729952	34.31845262080710768	29.30274040569699423
ENSG00000003393.15	259.26644515814700753	255.90013365391698130	297.58968518887400023
ENSG00000003400.14	83.37710423528311310	60.56415300080679032	47.26958467350384296
ENSG00000003402.20	1314.96911678079095509	1695.40654245231007735	1314.96911678079095509
ENSG00000003436.16	2769.27160388053061979	3075.80755159396994713	3554.84131163021402244
ENSG00000003509.16	140.47256046521101780	155.68902907075903386	124.53344063628702543
ENSG00000003756.16	1259.91134163476999674	1439.55378913526055840	1259.91134163476999674
ENSG00000003987.14	27.79045200805910198	27.77985506227999224	27.79045200805910198
ENSG00000003989.17	144.86551645590444082	219.49552406265908644	383.57660382335734539
ENSG00000004059.11	779.28052224310408747	802.47811782513156231	792.63568720241619303
ENSG00000004139.14	117.92749186158648911	127.72779928552006368	138.50304102062702327
ENSG00000004142.12	643.07259693173739379	643.07259693173739379	730.73918947569927695
ENSG00000004399.12	307.44418391007462787	338.14257939230100192	636.70523024974363580
ENSG00000004455.16	847.60574205667910519	919.47622740349368087	845.27219198705029157
ENSG00000004468.13	30.69552489318319388	25.44784199279540005	23.90211846487704861
ENSG00000004478.8	373.06716266418004579	400.99811460944812325	480.36745046512493218
ENSG00000004487.16	517.92127683700709895	585.63807399026927669	501.22692273697623477
ENSG00000004534.15	3109.17749827808438567	3393.35817254685025546	3456.54409464234413463
ENSG00000004660.14	106.94062953901851643	107.74609833712500517	54.27649169372259763
ENSG00000004700.16	925.68380549515109124	828.67670201564078525	719.32734786992898535
ENSG00000004766.17	148.95804524738503005	158.06744277664705578	146.02871024620492335
ENSG00000004776.13	290.12257674713083588	297.60768185704324651	303.31939510962905615
ENSG00000004777.18	38.86861159947854816	43.27803709553949574	41.52919353728535157
ENSG00000004779.10	555.27768927414285827	580.55456955267334251	659.06076034489865378
ENSG00000004799.8	798.41250867635494615	1361.31675365109958875	881.91153856561209068
ENSG00000004809.14	19.63839300402270283	19.63839300402270283	19.63839300402270283
ENSG00000004838.14	29.70406764088098939	26.99682525633090435	29.70406764088098939
ENSG00000004846.16	64.97311969126096187	31.78607343685239428	23.33141631573771235
ENSG00000004848.8	18.51346409552929728	18.51346409552929728	18.51346409552929728
ENSG00000004864.13	169.98863564264249248	173.26338206719495361	201.99311672798290829
ENSG00000004866.20	356.39696817288535158	299.99486586569992141	269.19936433795760422
ENSG00000004897.12	591.17136753203521948	552.90029343633784720	552.90029343633477765
ENSG00000004939.15	18.71669014768309225	18.71669014768309225	18.71669014768309225
ENSG00000004948.15	19.49294509803370445	19.49294509803370445	19.49294509803370445
ENSG00000004961.15	140.70664596953690761	140.70664596953690761	150.22299666290797404
ENSG00000004975.12	197.54126753268599259	197.54126753268599259	200.50732999133643375
ENSG00000005001.10	20.24649361522119762	20.24649361522119762	20.24649361522119762
ENSG00000005007.12	301.18018712346474786	330.55413939609809404	301.58901749062812314
ENSG00000005020.13	723.01420624581862739	723.01420624581771790	779.48107067201192422
ENSG00000005022.6	2529.37310679723668727	2457.08938531391140714	4488.40656100028172659
ENSG00000005059.16	341.44196082378005030	169.66562712574105376	70.59221729761200947
ENSG00000005073.5	37.31804055437193313	32.53282883338841458	35.75561949232485404
ENSG00000005075.15	517.75831003374719330	534.83490750156022386	560.07370146850928450
ENSG00000005100.13	215.04132798611701105	215.04132798611806265	258.50519391912581568
ENSG00000005102.13	30.78640332234709831	29.80206738296958946	20.18584235637924706
ENSG00000005108.16	24.13235113640739726	23.19574966561620499	20.75827515965634262
ENSG00000005156.11	191.68608602838094157	202.60919781105101833	179.84229976425342556
ENSG00000005175.10	208.91802051872195989	221.64542957575989135	208.91802051872144830
ENSG00000005187.12	36.51505957985079931	28.74724468557970170	31.91401112173111443
ENSG00000005189.19	46.75210872463279799	46.75210872463279799	33.99691099880763545
ENSG00000005194.15	723.69198740254000768	627.50729677365382031	643.60761735553546714
ENSG00000005206.17	150.84285685439201075	186.21863801162905361	143.25613570976545930
ENSG00000005238.19	192.96027643142198826	183.19406384174791924	183.69024525745746246
ENSG00000005243.10	461.56660585382553563	294.24245052690730517	187.86193123902000934
