Mixture	S1	S3	S4	P-value	Correlation	RMSE
4033	0.81282262090226576	0.00000000000000000	0.18717737909773424	0.00000000000000000	0.90633899213685620	0.61644251508532888
4034	0.87978351595280380	0.00000000000000000	0.12021648404719629	0.00000000000000000	0.92238824780970041	0.64639086126589596
4027	0.71100406834190344	0.00000000000000000	0.28899593165809656	0.00000000000000000	0.88967494783602752	0.56690579118436968
4028	0.90178860471576194	0.00000000000000000	0.09821139528423803	0.00000000000000000	0.91282397388046588	0.68934485382019828
4112	0.85616810064503657	0.00000000000000000	0.14383189935496341	0.00000000000000000	0.91875343636027818	0.63071230138040402
4113	0.85989608777333004	0.00646945576400808	0.13363445646266189	0.00000000000000000	0.94784368510584893	0.56813809601594600
4116	0.84856355077084056	0.00000000000000000	0.15143644922915950	0.00000000000000000	0.91032992682905955	0.64161741819233242
4117	0.89563619451299337	0.00000000000000000	0.10436380548700672	0.00000000000000000	0.93409207814202766	0.63669589864383436
4214	0.88122713569469746	0.00000000000000000	0.11877286430530248	0.00000000000000000	0.92146729238845770	0.64987623092626767
4215	0.89626216251390423	0.00000000000000000	0.10373783748609583	0.00000000000000000	0.92746745272537379	0.65214531728660741
4315	0.82725314981110076	0.00000000000000000	0.17274685018889929	0.00000000000000000	0.90570579819269537	0.63123271799939007
4316	0.88246258515972709	0.00000000000000000	0.11753741484027291	0.00000000000000000	0.94241226198854289	0.60364075696376729
4340	0.83232368997297401	0.00000000000000000	0.16767631002702604	0.00000000000000000	0.89757677297893390	0.65316485343486552
4341	0.86499702035896930	0.00000000000000000	0.13500297964103078	0.00000000000000000	0.91499525936918824	0.64765674511345539
4344	0.82279856345419400	0.00000000000000000	0.17720143654580597	0.00000000000000000	0.89585269387326771	0.64791063770828627
4345	0.83486624436936308	0.00000000000000000	0.16513375563063690	0.00000000000000000	0.88246659116971171	0.68625922080268509
3532	0.89214623413027094	0.00000000000000000	0.10785376586972910	0.00000000000000000	0.90022314149332194	0.70562795175216930
3533	0.88936466391727675	0.00000000000000000	0.11063533608272315	0.00000000000000000	0.92525544417569827	0.64988837799007937
3536	0.82328736387975765	0.00000000000000000	0.17671263612024232	0.00000000000000000	0.89049258591258940	0.65942271248862083
3537	0.88200941246543407	0.00000000000000000	0.11799058753456594	0.00000000000000000	0.90422325468405318	0.68732536634206176
4299	0.83631844946709077	0.00000000000000000	0.16368155053290925	0.00000000000000000	0.90732186622377553	0.63632990991161342
4300	0.83893817923697667	0.00000000000000000	0.16106182076302336	0.00000000000000000	0.92757093047195571	0.59385727890603801
4722	0.38879243742701297	0.00000000000000000	0.61120756257298703	0.00000000000000000	0.87713596641067071	0.48202418072039255
4723	0.77600941163467496	0.00000000000000000	0.22399058836532504	0.00000000000000000	0.88603507689316341	0.62672136273782186
