Mixture	S1	S3	S4	P-value	Correlation	RMSE
4033	0.95511827771397595	0.00000000000000000	0.04488172228602404	0.00000000000000000	0.82305500030639289	0.79301081471388246
4034	0.96225082857957323	0.00000000000000000	0.03774917142042677	0.00000000000000000	0.84024890077869197	0.76986928484260386
4027	0.87378916541228013	0.00000000000000000	0.12621083458771976	0.00000000000000000	0.80753026202067046	0.74700497116245368
4028	0.96382656276254097	0.00000000000000000	0.03617343723745908	0.00000000000000000	0.82120715503891828	0.80444849866141199
4112	0.96251701386543820	0.00000000000000000	0.03748298613456184	0.00000000000000000	0.83519534634271209	0.77903941260604692
4113	0.97009963464836046	0.00000000000000000	0.02990036535163942	0.00000000000000000	0.87651741150987583	0.71036629979609323
4116	0.96610533033269463	0.00000000000000000	0.03389466966730541	0.00000000000000000	0.82357128679300295	0.80260302082033641
4117	0.95237897280030237	0.00000000000000000	0.04762102719969762	0.00000000000000000	0.84559126091354697	0.75086053719266066
4214	0.96011991983612532	0.00000000000000000	0.03988008016387461	0.00000000000000000	0.84165744188363700	0.76531564146758568
4215	0.97275958422624009	0.00000000000000000	0.02724041577375988	0.00000000000000000	0.84982736803247483	0.76292530568056660
4315	0.95849957581128886	0.00000000000000000	0.04150042418871109	0.00000000000000000	0.81266758641781578	0.81377942270895731
4316	0.96505805855297688	0.00000000000000000	0.03494194144702314	0.00000000000000000	0.85947458324588677	0.73770727586945195
4340	0.96892598725777745	0.00000000000000000	0.03107401274222251	0.00000000000000000	0.81818793433960701	0.81445408070555747
4341	0.96616828112663200	0.00000000000000000	0.03383171887336796	0.00000000000000000	0.82564534520193822	0.79911277174431095
4344	0.96129847217260556	0.00000000000000000	0.03870152782739444	0.00000000000000000	0.81376260112470167	0.81460252493144036
4345	0.97159412316091531	0.00000000000000000	0.02840587683908467	0.00000000000000000	0.80044102254946647	0.84643224644020276
3532	0.96780839597928969	0.00000000000000000	0.03219160402071035	0.00000000000000000	0.81540862898124766	0.81805918014877177
3533	0.97087096035389309	0.00000000000000000	0.02912903964610696	0.00000000000000000	0.84118736613817913	0.77655286768142873
3536	0.96206630008244187	0.00000000000000000	0.03793369991755816	0.00000000000000000	0.79210825873898361	0.85083063473990572
3537	0.97024125010405338	0.00000000000000000	0.02975874989594663	0.00000000000000000	0.80456083499151021	0.83839927044584606
4299	0.96717032640368916	0.00000000000000000	0.03282967359631076	0.00000000000000000	0.82406659464912602	0.80277997832439085
4300	0.96282328915333948	0.00000000000000000	0.03717671084666049	0.00000000000000000	0.83545472436727031	0.77887875194396861
4722	0.63502208258375814	0.00000000000000000	0.36497791741624191	0.00000000000000000	0.80178664987253034	0.61495309449986058
4723	0.93100821033701475	0.00000000000000000	0.06899178966298523	0.00000000000000000	0.80980629798503134	0.79301317236587376
