Mixture	S1	S3	S4	P-value	Correlation	RMSE
4033	0.97251629319909616	0.00000000000000000	0.02748370680090387	0.00000000000000000	0.88969214102053484	0.72762960412534405
4034	0.97507876113815362	0.00000000000000000	0.02492123886184641	0.00000000000000000	0.90673962915692041	0.69552098958111797
4027	0.94632276848092700	0.00000000000000000	0.05367723151907303	0.00000000000000000	0.85129289168457001	0.77598331373104590
4028	0.96940547591476323	0.00000000000000000	0.03059452408523683	0.00000000000000000	0.89066340880835881	0.72269612216099455
4112	0.96952949657105636	0.00000000000000000	0.03047050342894369	0.00000000000000000	0.89812754560086194	0.70779494444295799
4113	0.98064896717464023	0.00000000000000000	0.01935103282535975	0.00000000000000000	0.93853663707882962	0.63169833270058573
4116	0.97298406543836102	0.00000000000000000	0.02701593456163895	0.00000000000000000	0.88205715583748712	0.74306714449272249
4117	0.97320296919193128	0.00000000000000000	0.02679703080806882	0.00000000000000000	0.90912631623973839	0.68868437444396347
4214	0.96728683254922865	0.00000000000000000	0.03271316745077135	0.00000000000000000	0.89777547628113774	0.70633486426976577
4215	0.97174421722869897	0.00000000000000000	0.02825578277130098	0.00000000000000000	0.89792549063333171	0.71036019446729337
4315	0.96052247805829705	0.00000000000000000	0.03947752194170292	0.00000000000000000	0.88727860916378665	0.72091405760684857
4316	0.97902091839382821	0.00000000000000000	0.02097908160617180	0.00000000000000000	0.92926966510404452	0.65100125854983748
4340	0.97240791533144355	0.00000000000000000	0.02759208466855648	0.00000000000000000	0.86661690846442896	0.77193783405806649
4341	0.97341545930872320	0.00000000000000000	0.02658454069127690	0.00000000000000000	0.89000989744938819	0.72786898512941778
4344	0.96594663026483285	0.00000000000000000	0.03405336973516705	0.00000000000000000	0.87977743075548709	0.74076630795511711
4345	0.96922516048819418	0.00000000000000000	0.03077483951180584	0.00000000000000000	0.87303221578115076	0.75682531496152294
3532	0.98030950964510244	0.00000000000000000	0.01969049035489753	0.00000000000000000	0.87028799052709505	0.77258726830864954
3533	0.97966020832270140	0.00000000000000000	0.02033979167729855	0.00000000000000000	0.90834341776436045	0.69672221186586403
3536	0.96577250833584771	0.00000000000000000	0.03422749166415225	0.00000000000000000	0.87645050517636069	0.74701868322960019
3537	0.97150809916466052	0.00000000000000000	0.02849190083533949	0.00000000000000000	0.88275822031360252	0.74028675593942961
4299	0.97140007557851304	0.00000000000000000	0.02859992442148694	0.00000000000000000	0.88970299827142374	0.72652977187782442
4300	0.97197498535381333	0.00000000000000000	0.02802501464618664	0.00000000000000000	0.90808468981531820	0.68965366579656107
4722	0.90182740651211102	0.00000000000000000	0.09817259348788905	0.00000000000000000	0.82177975869605213	0.78924252954677498
4723	0.95933064159226278	0.00000000000000000	0.04066935840773729	0.00000000000000000	0.85992009235814637	0.77211693775019674
