Mixture	S1	S3	S4	P-value	Correlation	RMSE
4033	0.52139007281608973	0.33102587067301137	0.14758405651089887	0.00000000000000000	0.98561472107385739	0.18621727912218333
4034	0.03932556949861545	0.96067443050138446	0.00000000000000000	0.00000000000000000	0.99009709758645226	0.17645799558356565
4027	0.34149832695634785	0.50392300192785022	0.15457867111580195	0.00000000000000000	0.99114797311356728	0.14312845622431741
4028	0.33877050212833432	0.66122949787166563	0.00000000000000000	0.00000000000000000	0.98440443177601822	0.19188534018349790
4112	0.52608334142707935	0.35795725465360323	0.11595940391931753	0.00000000000000000	0.98619978394635677	0.19480931716637456
4113	0.02583525714366068	0.97416474285633936	0.00000000000000000	0.00000000000000000	0.98173145859482358	0.21804799230832939
4116	0.35120196928539443	0.57623275995973566	0.07256527075486989	0.00000000000000000	0.99178759544407469	0.13032830407027968
4117	0.17399014792271197	0.81445891722825947	0.01155093484902840	0.00000000000000000	0.99251113196293295	0.12789691292010402
4214	0.17557391669335551	0.78372999068288218	0.04069609262376226	0.00000000000000000	0.99565755304665482	0.11285932608581330
4215	0.43912826670723470	0.52894291386160641	0.03192881943115903	0.00000000000000000	0.99182198433430135	0.16656213864138816
4315	0.37849197958894970	0.51265701103147687	0.10885100937957340	0.00000000000000000	0.98619802684244728	0.16708070827846369
4316	0.13000543799999620	0.86999456200000369	0.00000000000000000	0.00000000000000000	0.99290787796912794	0.13128799511384240
4340	0.27777651181720914	0.67614950242417615	0.04607398575861477	0.00000000000000000	0.99324213575088582	0.11634057302020390
4341	0.31503847365541715	0.66708815628776774	0.01787337005681503	0.00000000000000000	0.99397244413816233	0.11668486933386181
4344	0.43497882657645004	0.49325206051254156	0.07176911291100838	0.00000000000000000	0.99721165635897835	0.10259889729460588
4345	0.26970972443659591	0.71708720362684364	0.01320307193656038	0.00000000000000000	0.99532018444834036	0.09773975433004951
3532	0.83998890222536882	0.00000000000000000	0.16001109777463116	0.00000000000000000	0.97571917230928229	0.35057881416986558
3533	0.00662761361119452	0.99337238638880543	0.00000000000000000	0.00000000000000000	0.98252072394829659	0.22074974424048527
3536	0.26640752851046889	0.67209929029776727	0.06149318119176374	0.00000000000000000	0.99324001672980722	0.11870545765800994
3537	0.28573205906711330	0.69849437482585175	0.01577356610703506	0.00000000000000000	0.99660585806236113	0.08516548864165574
4299	0.51142010865317422	0.39578883082515631	0.09279106052166945	0.00000000000000000	0.98568074964004992	0.20190732495317096
4300	0.04786806982357854	0.95213193017642139	0.00000000000000000	0.00000000000000000	0.98994018736936840	0.17424030911763097
4722	0.25941424128971674	0.61577671661154543	0.12480904209873778	0.00000000000000000	0.97645769160588125	0.22399743158377594
4723	0.47234212151815769	0.52765787848184231	0.00000000000000000	0.00000000000000000	0.95339213883042018	0.35542268309382236
