Mixture	S1	S3	S4	P-value	Correlation	RMSE
4033	0.43240797381780732	0.51103624297171546	0.05655578321047720	0.00000000000000000	0.67679503099564531	0.83193525188360362
4034	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.80935891606324528	0.59046718697265532
4027	0.00810050567340961	0.91914313703262762	0.07275635729396270	0.00000000000000000	0.67064109055883014	0.75544914299640276
4028	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.71871013102972137	0.71153215619140164
4112	0.09202637100933109	0.90797362899066880	0.00000000000000000	0.00000000000000000	0.86872219822591235	0.49720089959646213
4113	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.93825887816545595	0.35286136077130187
4116	0.05219959681529645	0.94780040318470349	0.00000000000000000	0.00000000000000000	0.76041243657562807	0.66338496131268176
4117	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.83540508106414224	0.55078179655302095
4214	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.85767149802778475	0.51443383326432923
4215	0.02389521946192934	0.97610478053807070	0.00000000000000000	0.00000000000000000	0.84451922376762933	0.53668867110023599
4315	0.16198675163180909	0.83801324836819091	0.00000000000000000	0.00000000000000000	0.79405151777842742	0.62876220127705573
4316	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.89567738365210170	0.44559493975318543
4340	0.44145673731375401	0.55854326268624599	0.00000000000000000	0.00000000000000000	0.73578175541978341	0.77770719866385085
4341	0.29137109165695801	0.70862890834304193	0.00000000000000000	0.00000000000000000	0.76717437256389720	0.69301680612866556
4344	0.24901888981231216	0.75098111018768776	0.00000000000000000	0.00000000000000000	0.75554705169487779	0.70091189657434672
4345	0.23294395164058065	0.76705604835941921	0.00000000000000000	0.00000000000000000	0.69619550239980843	0.77774582013562066
3532	0.49896788819608506	0.50103211180391494	0.00000000000000000	0.00000000000000000	0.65939006006073519	0.89847985254486062
3533	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.77744929587886491	0.63571864878062223
3536	0.11199235010494425	0.87122637908302314	0.01678127081203268	0.00000000000000000	0.61359303954498301	0.84492173601063192
3537	0.18824870766055599	0.81175129233944410	0.00000000000000000	0.00000000000000000	0.65695762043885564	0.81642868926293533
4299	0.67168034547856248	0.30220474552888754	0.02611490899254992	0.00000000000000000	0.76188753194037329	0.80330587156671840
4300	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.88874654177282131	0.45891904270154343
4722	0.17151734467611823	0.62933305501606396	0.19914960030781781	0.00000000000000000	0.82754627667023795	0.56031548667163289
4723	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.78202950477744726	0.62942339458511953
