genesymbols	S1	S3	S4
ENSG00000000003.14	947.98115809791624997	704.25536785980750665	281.52848777852386775
ENSG00000000005.6	21.75883765650330659	17.46078584376689591	21.75883765650330659
ENSG00000000419.12	755.87398215061784867	659.51419177935326843	517.44452892279036860
ENSG00000000457.14	275.10683620735210297	291.06873260692918848	201.02665401989489169
ENSG00000000460.17	103.13355207748043085	94.24098070665428395	52.03389689680709296
ENSG00000000938.13	21.69879946714479502	13.72540708632189421	21.69879946714479502
ENSG00000000971.15	8515.74939753038415802	5925.42740185965521960	1559.55873683100526250
ENSG00000001036.13	1544.23967886370974156	1471.44641657237025356	675.81306013236621766
ENSG00000001084.13	317.98483016785547761	272.36074632668402273	137.33728569678578424
ENSG00000001167.14	372.18313259247690894	385.40748162087714945	375.13774682011694495
ENSG00000001460.18	159.49630955324150250	98.71997481375224481	38.11726610724768705
ENSG00000001461.17	558.11976061129234949	570.09986288769846396	127.21612780565544654
ENSG00000001497.16	587.82925894428717584	873.36070388974906109	803.63156903155129385
ENSG00000001561.7	120.29904843321396868	45.97711273040030022	33.85976357600019071
ENSG00000001617.12	43.78284074620209054	39.02834558469440651	48.56835892669874255
ENSG00000001626.15	18.33570770241300352	17.98653155871259912	18.33570770241300352
ENSG00000001629.10	818.66725557595304963	975.06333898775130820	565.12017827376234891
ENSG00000001630.17	1295.75787121307007510	1077.10162707076960942	927.02695782805301405
ENSG00000001631.15	576.82834029299647227	700.11240718558769913	419.60032582439373527
ENSG00000002016.17	284.27679680266248852	375.95498367481582136	288.27736941426576323
ENSG00000002330.13	343.02070392494107409	391.48366391132685749	367.59413587399416201
ENSG00000002549.12	1812.84088106565923226	1284.25960488577879914	1392.09374961675553095
ENSG00000002586.20	3911.07981122673663776	3020.64144150416814227	1538.56290213010470325
ENSG00000002586.20_PAR_Y	3897.86003627560830864	3061.76982065054789928	1375.23637246218959262
ENSG00000002587.10	26.81085165756290323	31.26342511164489224	30.46343746456564361
ENSG00000002745.13	26.52606011006440312	24.68561752314390390	26.52606011006440312
ENSG00000002746.15	33.94714796696944603	30.70388531296289969	25.49208691894179424
ENSG00000002822.15	160.46406870498259423	113.69152315739394510	116.34021105422363007
ENSG00000002834.18	2719.08162695097053074	3044.53361529126050300	4403.21349878778437414
ENSG00000002919.14	397.01335356917047648	364.84173048280513285	207.49134023944048977
ENSG00000002933.9	1248.77601717021980221	685.16114852083160258	60.40639169220450810
ENSG00000003056.8	1636.39463992038099605	1586.13622685752852703	1510.25265272977503628
ENSG00000003096.14	196.36791219307042411	269.06173780921716343	223.94945202371553705
ENSG00000003137.8	139.37001098301550428	150.30164548137199176	60.20364158036818480
ENSG00000003147.19	30.54137434726994371	17.95997251629649227	24.51469864963550194
ENSG00000003249.13	31.81899077693729794	25.18674989405170095	29.00661904342369368
ENSG00000003393.15	447.66350243430053979	393.09792941583486936	381.08645714772558222
ENSG00000003400.14	82.15108676535065513	54.39485493273910066	23.73309884858395336
ENSG00000003402.20	1801.90899341773001652	1747.79770564796899635	1417.19165124481060047
ENSG00000003436.16	3898.88771844441362191	4928.97020593937850208	4144.35058498064972810
ENSG00000003509.16	241.62723749222749348	397.77273214593327566	105.80296451828493787
ENSG00000003756.16	2737.79753956900003686	2645.03155114647961454	2634.57848349454980053
ENSG00000003987.14	27.46789014987310651	20.61286438080079719	17.60371300103909675
ENSG00000003989.17	150.78950834821193894	272.41777163408403339	617.13768848709605663
ENSG00000004059.11	1225.96131330605476251	936.64607299794488426	1228.25379480827018597
