NAME	S1	S3	S4
ENSG00000038427.16	26357.06556617683963850	12422.35753012770146597	1638.73842957132069387
ENSG00000048740.18	1795.56240798915951018	1233.42062208273955548	144.10710629440751518
ENSG00000053702.15	95.07827171590201942	81.92714911182896742	732.59807688616115229
ENSG00000053747.16	72.05858656566303466	101.90117470033104041	840.01756797159555390
ENSG00000058866.15	29.19268212502160864	52.56726399951699591	459.54615127353542903
ENSG00000060718.22	1320.24634829417436777	237.19166535181699373	39.72231083150028752
ENSG00000064205.10	2917.09618213284375088	754.30923365407386427	83.66590703695723619
ENSG00000064309.14	485.11451849766467603	309.45141457388615436	35.79522223566119976
ENSG00000067798.16	616.45815209032218718	293.84516733618301032	36.77064139898694606
ENSG00000069122.19	59.06180493116501395	273.62125968650491359	3506.38463904535910842
ENSG00000073756.12	640.65008873084343577	311.20929974002990548	37.33430678339414044
ENSG00000074181.9	876.04421322854693699	1223.36922638467899560	14219.66764763920946280
ENSG00000075223.14	2177.69507250937022036	833.68172681615271813	171.92288184449799360
ENSG00000075884.14	36.84116402829754122	58.14441955405271045	370.11382720560050075
ENSG00000076706.17	119.83687897984898996	461.98178443671906734	11168.01637825959551265
ENSG00000077274.9	250.71941423505748503	106.70770210061897387	18.31338362643019479
ENSG00000077942.19	24771.93059569268370979	12874.94484350081074808	2157.86519785946074990
ENSG00000078018.19	79.55910517883197031	79.19276481120500932	530.22622980982305307
ENSG00000078098.14	7689.29808571165631292	2279.65143056370015984	164.60161064125250618
ENSG00000078596.11	871.82355963438612889	940.88113699967925641	112.35582525872052884
ENSG00000079257.8	757.12265434885853210	552.17372661833405800	93.56684236082381290
ENSG00000079931.15	562.56481435145587966	212.70510258889294164	51.54922584972589306
ENSG00000081189.15	326.50959611924997716	609.01260529938303989	4731.50837785564272053
ENSG00000082196.20	1286.19178860626448113	278.80163405872184512	19.47044974248755267
ENSG00000082397.17	782.86279144391983209	439.70891011440983220	33.70353061317484133
ENSG00000082684.15	25.70248492393319140	68.15187750407919509	853.59740585065696905
ENSG00000086991.13	749.76588489323785325	149.83915585863809383	20.57708287255750434
ENSG00000087245.13	59141.39089056999364402	21084.40338465258537326	736.81434711663200687
ENSG00000088280.19	1324.97658966044491535	819.75122741822008265	139.86380400237283084
ENSG00000088882.8	1746.73141326256427419	1126.77178658828074731	152.66211019312800090
ENSG00000091656.18	2460.49581132672892636	1223.70917865266983426	206.61871606129790280
ENSG00000091879.13	192.01446553018749341	184.80321823757299171	1606.26348259849442002
ENSG00000091986.15	43943.26477664521371480	19605.13476440168960835	2734.87516152366151800
ENSG00000092068.20	557.27346280680103519	274.76987812504580688	32.58681033378879732
ENSG00000095370.20	30.73079604132574616	65.43495805226241657	293.68541421505591416
ENSG00000099139.13	1178.10515917761495075	516.94682415517274876	43.54478373086703868
ENSG00000099204.20	1499.33241777276998619	733.07714607604214052	157.21434084824846877
ENSG00000100196.11	2540.42407323329007340	1661.18529861086085475	316.77062121544582851
ENSG00000100311.16	23.30030158134380258	22.85328423236250117	197.18397058292896418
ENSG00000100767.16	830.43570133763478225	642.84913550169744667	94.58789735659749454
ENSG00000101605.12	51.16943952690729702	131.77435950530409059	700.07159751777066958
ENSG00000101825.8	8319.55494745750183938	4792.93630435972136183	860.05315136971796619
ENSG00000101938.14	2610.28179178558457352	1180.75851114876923020	48.76504943238535361
ENSG00000101955.15	3752.15282788332751807	3109.24179874309857041	389.82320930690082150
ENSG00000102359.7	3768.09536782529403354	1476.48295501905863603	436.05989733367078998
ENSG00000102466.15	353.80682404717651934	102.13998116061002008	19.80728507736545652
ENSG00000102760.13	478.93264902021462603	195.51552420939691501	31.20826960217139501
ENSG00000103175.11	28.18513557065629982	51.59051948567019963	667.79879470078662962
ENSG00000103742.12	422.97971909916111599	256.56780672942699084	15.51529746037389756
ENSG00000104213.12	4551.84591256637213519	2489.44535224046057920	169.39337097845603353
ENSG00000105664.11	1462.75159204222654807	275.54836228896499506	45.24755228653859263
ENSG00000105989.9	1481.32899374492444622	416.36647701218691964	30.90359120258530012
ENSG00000106066.15	274.65778672042404196	208.73676555712594904	19.72221985376130249
ENSG00000106366.8	13941.68511549915456271	8257.59225244937260868	2469.50708619850956893
ENSG00000106483.12	12766.06567630759673193	2030.05256778031116482	80.90269569214493117
ENSG00000106809.11	2914.52113219519014820	1225.41591405109033985	69.04603320050659931
ENSG00000106976.20	610.43190859241690305	272.12163398636209877	51.73622844402508747
ENSG00000107317.13	1390.21320836448444425	478.83892332083985366	31.25777416873184933
ENSG00000107562.16	5795.28096948192978743	5092.02073979476153909	381.88861235761066837
ENSG00000107796.13	9137.24078193679088145	6022.20019443488308752	65117.04110748590028379
ENSG00000108387.14	247.37979242813446490	367.24824361983502286	3602.28634539325867081
ENSG00000108821.13	256466.30164208816131577	150026.31950749413226731	23202.85568099617375992
