Mixture	S1	S3	S4	P-value	Correlation	RMSE
4033	0.97319679307569851	0.00000000000000000	0.02680320692430152	0.00000000000000000	0.88936115832498674	0.73099970067171871
4034	0.97561203125134288	0.00000000000000000	0.02438796874865717	0.00000000000000000	0.90622834526466856	0.69929814696751014
4027	0.94601992928433776	0.00000000000000000	0.05398007071566216	0.00000000000000000	0.85083635318438833	0.77821671272034898
4028	0.96860031842467043	0.00000000000000000	0.03139968157532952	0.00000000000000000	0.89010024621317652	0.72507536210879864
4112	0.96897651129021667	0.00000000000000000	0.03102348870978340	0.00000000000000000	0.89763292602377842	0.71035045749416514
4113	0.97959102118957464	0.00000000000000000	0.02040897881042536	0.00000000000000000	0.93791311464550131	0.63451887191438805
4116	0.97653246447018371	0.00000000000000000	0.02346753552981633	0.00000000000000000	0.88148285925199032	0.74962026045539298
4117	0.97308999423371845	0.00000000000000000	0.02691000576628155	0.00000000000000000	0.90855159074089475	0.69196796248265879
4214	0.96835998970706993	0.00000000000000000	0.03164001029292997	0.00000000000000000	0.89727600519851403	0.71047105960010970
4215	0.97296210737190147	0.00000000000000000	0.02703789262809856	0.00000000000000000	0.89745368956869442	0.71461322213355738
4315	0.96093193476712724	0.00000000000000000	0.03906806523287272	0.00000000000000000	0.88667176871994835	0.72447141298961648
4316	0.97870999130479930	0.00000000000000000	0.02129000869520070	0.00000000000000000	0.92866459061393969	0.65442360246345144
4340	0.97166676753037795	0.00000000000000000	0.02833323246962205	0.00000000000000000	0.86616291177060623	0.77399204363224339
4341	0.97309700641928376	0.00000000000000000	0.02690299358071616	0.00000000000000000	0.88938735778741052	0.73085088939456411
4344	0.96747376414910558	0.00000000000000000	0.03252623585089440	0.00000000000000000	0.87940810796140201	0.74489386139404112
4345	0.97061618726925791	0.00000000000000000	0.02938381273074212	0.00000000000000000	0.87268260954809629	0.76074889282373470
3532	0.98091892317254525	0.00000000000000000	0.01908107682745475	0.00000000000000000	0.86990492101879258	0.77587413143767991
3533	0.98172280433903014	0.00000000000000000	0.01827719566096988	0.00000000000000000	0.90779937499422514	0.70214282451771026
3536	0.96862541472214503	0.00000000000000000	0.03137458527785495	0.00000000000000000	0.87598669582363309	0.75256233833009523
3537	0.97194029506160196	0.00000000000000000	0.02805970493839795	0.00000000000000000	0.88225345918108611	0.74368727075808205
4299	0.97135570328707099	0.00000000000000000	0.02864429671292898	0.00000000000000000	0.88919345710935960	0.72954164006022271
4300	0.97337701435889223	0.00000000000000000	0.02662298564110772	0.00000000000000000	0.90747373648669039	0.69449704223696307
4722	0.90194339729321604	0.00000000000000000	0.09805660270678393	0.00000000000000000	0.82132482252547445	0.79141641337072932
4723	0.96419720186468527	0.00000000000000000	0.03580279813531482	0.00000000000000000	0.85938621886212552	0.77946185221493702
