genesymbols	S1	S3	S4
ENSG00000000003.14	584.73754214474161017	510.67903163284790935	315.28858143536592706
ENSG00000000005.6	15.34993932696440311	23.63733205680120264	23.40797747799775053
ENSG00000000419.12	518.30410155224626578	523.34908548941950812	468.39557564548374557
ENSG00000000457.14	235.70540454495198901	284.99175911275477802	180.27912447988950362
ENSG00000000460.17	111.63553326888101935	118.88344751424996559	96.72632688860433348
ENSG00000000938.13	17.25460885437705372	18.55583256877230269	16.16550602702599804
ENSG00000000971.15	2966.88840448733526500	2136.78983722586826843	733.63198107118569169
ENSG00000001036.13	1086.71456006999960664	1104.87765371420937299	809.22302177284427671
ENSG00000001084.13	175.63555753031897666	307.47500065174779138	185.21864149745249506
ENSG00000001167.14	353.53713330542530002	353.53713330542683480	345.65215083112701677
ENSG00000001460.18	129.61673277813696359	141.13581572965406963	68.44476544099464377
ENSG00000001461.17	465.26928781442802574	423.32585784776625815	337.97163269020347798
ENSG00000001497.16	460.26539871458271591	618.21217467427629799	532.90080940521136199
ENSG00000001561.7	52.93580277108034693	56.36542632875388392	46.50741174018024537
ENSG00000001617.12	51.39081522356094212	52.07649176508948585	52.19507001456294404
ENSG00000001629.10	849.22171198896342048	725.52043551290273626	666.17850961883345917
ENSG00000001630.17	983.60321020254286850	887.19128686818987717	825.62539645887181905
ENSG00000001631.15	390.92511157349360928	380.85996891969494982	349.46960866186503836
ENSG00000002016.17	218.92983143528999790	205.98483874347107303	275.06013494599210389
ENSG00000002079.14	15.55781110416169710	15.55781110416169710	15.42870247296940178
ENSG00000002330.13	334.25121241916946246	336.10398443408763569	423.43574423334894163
ENSG00000002549.12	1381.23275164782580759	1015.94978882679038179	1046.98733792159555378
ENSG00000002586.20	5817.63077762867487763	3785.24164120741761508	2155.61945223154543783
ENSG00000002586.20_PAR_Y	5620.40122196748052374	3262.48342201363948334	1998.02637974542403754
ENSG00000002587.10	22.32842033108209279	26.98356546792059873	28.88112392406939932
ENSG00000002745.13	26.72772774167145116	26.45673689998599443	24.43403806848814241
ENSG00000002746.15	28.36336920971894315	23.68923213055490251	18.31776687558979688
ENSG00000002822.15	175.28886485546291851	146.85452151038506940	164.20640859771401665
ENSG00000002834.18	3941.90708202504447399	3941.90708202506129965	5077.05951675955839164
ENSG00000002919.14	255.59547367462496936	298.30847653823121846	204.15002233032447521
ENSG00000002933.9	270.70012338760830062	185.08997579126000232	55.65799505236184785
ENSG00000003056.8	1087.80032705408984839	1160.01425429313007953	1113.01109986399978879
ENSG00000003096.14	99.53119881384795065	157.86741579141099123	179.09455012981351274
ENSG00000003137.8	62.27068822817902571	89.86754536938239823	66.50442622446155383
ENSG00000003147.19	26.07222246416744937	20.12155897935729953	20.88308214977104527
ENSG00000003249.13	38.36071084710638956	35.73894775778040156	31.66221543180850873
ENSG00000003393.15	402.31645317093995118	391.31380724176722197	456.87582025018582499
ENSG00000003400.14	87.29982849169203973	58.30794827224101340	43.54687950484665038
ENSG00000003402.20	1453.75782580655004494	1924.86467185254014112	1554.07396301251992554
ENSG00000003436.16	2515.66269950967807745	3048.56063098086951868	3334.59373802889876970
ENSG00000003509.16	169.46827188486355453	196.70632232256306793	148.46391774767749894
ENSG00000003756.16	1590.68766108107479340	1738.12499011267982496	1487.17640909597957943
ENSG00000003987.14	35.32866277641888075	34.04852094351208791	33.77998407854376239
ENSG00000003989.17	109.51806813432997956	181.96623705310096852	344.02298862572888538
ENSG00000004059.11	1040.60707223132999388	1058.34036155053968287	1057.61431925514034447
ENSG00000004139.14	148.86687012271198682	158.04744714229994429	174.84953786619695393
ENSG00000004142.12	1056.78206073472983917	992.33030340636400979	1155.71943528434439941
ENSG00000004399.12	625.53914209063441376	749.77638271987348162	1370.54617656154528049
ENSG00000004455.16	1254.19019027665967769	1287.52253971140066824	1206.71332935270970665
ENSG00000004468.13	23.30979009340145325	19.01057684094560329	15.99832609641929437
ENSG00000004478.8	554.84726633477771429	631.97191160384875275	773.15871417386051689
ENSG00000004487.16	811.01575410734812976	899.56196029328259556	765.20668927026940764
ENSG00000004534.15	2952.58493532606780718	3079.66305310978941634	3283.92893192597512098
ENSG00000004660.14	182.09108902668356222	187.35972248310497434	82.67625967288270772
ENSG00000004700.16	1573.03773130278932513	1408.32495243344123992	1081.71173366782977610
ENSG00000004766.17	196.63140247014308670	203.46488617222891548	177.33902733977393495
ENSG00000004776.13	511.61798024414974861	675.52617433306249950	738.43176908529869706
ENSG00000004777.18	59.35045869407924357	68.31739603678458650	65.29855892330999723
ENSG00000004779.10	651.42105737570818746	685.86722898030825490	802.40383982705634480
ENSG00000004799.8	360.46465055590607562	813.20972718748441821	474.94195997657652697
ENSG00000004809.14	14.92522969140899392	14.83562736014690131	14.83562736014690131
ENSG00000004838.14	24.26207531123993988	20.55176957739639931	20.84650410076780247
ENSG00000004846.16	37.46112430972378604	15.40682522578549651	14.26349686974999820
ENSG00000004864.13	248.62141748574396161	256.72346612128092147	306.21921862760063959
ENSG00000004866.20	448.88561398465776620	362.85072243025115313	308.11483544622058162
ENSG00000004897.12	1082.06203710062982282	1016.11685180496988323	954.07188013474933541
ENSG00000004961.15	220.40495104920887570	220.40495104921089364	229.53150193931239187
ENSG00000004975.12	262.45480279032005910	274.23523365872506474	286.56576796749891400
ENSG00000005001.10	15.22533716961899408	15.22533716961899408	15.16559607739919890
ENSG00000005007.12	610.11647925238753487	628.20701007813511296	537.84025890349857946
ENSG00000005020.13	806.10522511416024827	875.61798744431496289	946.11073322090010151
ENSG00000005022.6	2874.49021392742497483	2835.54728230818864176	5228.83924297016710625
ENSG00000005059.16	482.51220989581287313	252.28116249042201957	95.32857847659869321
ENSG00000005073.5	45.61061908068797521	34.60140487344880711	36.68279469811164972
ENSG00000005075.15	666.98434545018051267	666.98434545018551489	701.54525648700064266
ENSG00000005100.13	334.22539742308686073	330.97519357478699931	411.68725169269038133
ENSG00000005102.13	22.69879983744920082	21.52662562849459604	13.61104371596015383
ENSG00000005108.16	17.78666764289530278	17.05947727857959606	14.91081564079215482
ENSG00000005156.11	305.48971881861189104	273.99812201567090142	193.26383236705999025
ENSG00000005175.10	333.36493999764212504	340.12103907253606394	306.43367529422056350
ENSG00000005187.12	40.43413559910873545	24.98398094414930526	25.75124038082214994
ENSG00000005189.19	53.11213245592133347	63.63535445802779833	37.66954076930854711
ENSG00000005194.15	798.93268987179567375	656.63832956732346702	700.50899327141200956
ENSG00000005206.17	251.53203425592093367	323.40134800215696487	243.37513362465497835
ENSG00000005238.19	389.54970543793047000	383.96496852572175840	375.70418589478919102
ENSG00000005243.10	636.93597444789770634	402.09168595800576895	253.90905712813403738
ENSG00000005249.13	90.85044940211275843	109.80093926393105619	99.41051542203859981
ENSG00000005302.18	491.19545405095044543	396.80113779706579180	497.89383426247036368
ENSG00000005339.14	927.67911550625626660	1014.06729280016975281	1034.87186573659982969
ENSG00000005379.17	35.44856278587339204	48.02380621960819695	35.92697891247775033
ENSG00000005381.7	15.76416452217389974	15.69857839734690153	15.11744419388770133
ENSG00000005421.8	16.49898668709740690	15.39373203349829922	15.53405267500914988
ENSG00000005436.13	178.22260710785405990	174.78392636852191799	197.84369565616094633
ENSG00000005448.16	196.88738168935699946	217.62171179659299014	293.39380169610649318
ENSG00000005469.11	167.63452286787344292	189.11459861726100939	174.72947509963194079
ENSG00000005471.17	42.34006036322914213	33.84810241403170039	28.37147745658299414
ENSG00000005483.21	1656.47583347839054113	2216.51412439607929628	2410.70907702539534512
ENSG00000005486.17	634.46511739279833364	548.87754399409618600	593.38386155277839862
ENSG00000005513.10	19.02578160974530874	19.02578160974530874	19.02578160974530874
ENSG00000005700.15	1342.24872611128944300	1237.27014084603956690	1195.79827701727049316
ENSG00000005801.18	304.97917483548496875	261.24031209782185670	261.24031209782316409
ENSG00000005810.18	1480.96115572800931659	1440.78197910526091619	1440.78197910526523629
ENSG00000005812.11	1041.51142569500461832	1067.55232545824969748	910.83283597958484279
ENSG00000005844.17	19.22918332127714791	22.28996187318350053	18.34943114220419957
ENSG00000005882.11	362.92346408450691797	418.52171472018011400	423.16420206998100184
ENSG00000005884.18	128.55177212898996686	683.95160254218683349	2280.34322385940595268
ENSG00000005889.15	766.35065443303255961	699.18743121462557610	731.35064558742919871
ENSG00000005893.15	3311.64348832774885523	2475.50972961717980070	2410.48687977250938275
ENSG00000005961.18	20.03743868789674920	17.92934871300120392	16.28547190830814984
ENSG00000006007.12	961.84850454872571390	825.75784491056390380	802.54589555723327976
ENSG00000006015.17	233.67100499210144449	248.47050663719585373	179.03363216938305413
ENSG00000006016.11	293.41971388166888346	280.73792844694690984	277.24834012780183912
ENSG00000006025.12	102.08807047454504868	56.22326844577819571	63.26629899426772852
ENSG00000006042.12	1386.44228650595459840	1018.42752701231052015	597.18717045014068390
ENSG00000006047.13	15.13110087481139843	15.46367292968820273	15.63269014405920210
ENSG00000006062.17	144.40088029045753615	142.54175605815106564	111.67027588990248432
ENSG00000006071.14	16.99464632240640327	18.61638462289230489	18.72422625967358911
ENSG00000006118.14	184.91523104043349690	125.71885348245496061	137.52909260989252971
ENSG00000006125.18	1737.37985754829060170	1236.03992253394881118	1556.44754415833995154
ENSG00000006128.12	35.19490489145420042	21.16076418865739939	19.44957024327474926
ENSG00000006194.10	263.27836031387204230	389.46261260819562722	259.66275857651021397
ENSG00000006210.7	50.76845165036760221	49.38123416604891247	58.33893823840914905
ENSG00000006282.21	588.82176520901134609	576.59636822826689695	444.01782355097486743
ENSG00000006283.18	35.86996526874149538	31.42813248964229089	18.19780185001760131
ENSG00000006327.13	1156.17619844235923665	605.66471609864026959	973.87772169116828991
ENSG00000006377.11	14.89129761046214639	14.21879227012790103	15.20817117435220034
ENSG00000006432.15	22.20529746707013885	28.32336342981750832	19.97146036631039578
ENSG00000006451.8	1216.45993801810914192	953.75533969068544593	819.66964359453322686
ENSG00000006453.14	106.08816312458094444	71.34094978700211698	65.70788306034339143
ENSG00000006459.11	409.69047257588897537	326.16833437897724934	230.42244489997645474
ENSG00000006468.14	558.83877698334026718	265.74613776083299399	259.79453312399544984
ENSG00000006530.18	341.41276310707814901	343.72274410475188233	363.69114875783043317
ENSG00000006534.16	123.95295084892649129	105.00588129038395380	165.43074900576101527
ENSG00000006555.11	15.40375420802149797	15.40375420802149797	15.40375420802149797
ENSG00000006576.16	547.72861976002559459	526.16667281157947400	423.25721779742093531
ENSG00000006606.8	69.00308032444341677	49.53097549543330302	70.38214551005303576
ENSG00000006607.14	595.56876131715330303	531.18090801773814746	786.13784212121026940
ENSG00000006625.18	473.27377987533316173	410.92795978353910868	391.43928396824350102
ENSG00000006634.8	209.66592264682793711	139.24314050542406562	138.88023017386800007
ENSG00000006638.11	75.33872284567682698	66.55646402130241768	82.35446258872424607
ENSG00000006652.14	1162.91474947843994414	1273.60538986629876490	1154.61175643567048610
ENSG00000006695.12	243.41625057919497976	241.58453337093195046	246.58850125018989274
ENSG00000006704.10	200.43259237894346825	147.35458253191103495	120.28323450758152546
ENSG00000006712.15	584.97188087990025451	584.97188087990309668	556.61296664245924148
